Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalSizeCm,FlowerCondition
1,5.1,3.5,1.4,0.2,Iris-setosa,1.6,Healthy
2,4.9,3.0,1.4,0.2,Iris-setosa,1.6,
3,4.7,3.2,1.3,0.2,Iris-setosa,1.5,Wilting
4,4.6,3.1,1.5,0.2,Iris-setosa,1.7,Healthy
5,5.0,3.6,1.4,0.2,Iris-setosa,1.6,
6,5.4,3.9,1.7,0.4,Iris-setosa,2.1,Healthy
7,4.6,3.4,1.4,0.3,Iris-setosa,1.7,
8,5.0,3.4,1.5,0.2,Iris-setosa,1.7,Wilting
9,4.4,2.9,1.4,0.2,Iris-setosa,1.6,Healthy
10,4.9,3.1,1.5,0.1,Iris-setosa,1.6,
11,5.4,3.7,1.5,0.2,Iris-setosa,1.7,Healthy
12,4.8,3.4,1.6,0.2,Iris-setosa,1.8,
13,4.8,3.0,1.4,0.1,Iris-setosa,1.5,Wilting
14,4.3,3.0,1.1,0.1,Iris-setosa,1.2,Healthy
15,5.8,4.0,1.2,0.2,Iris-setosa,1.4,
16,5.7,4.4,1.5,0.4,Iris-setosa,1.9,Healthy
17,5.4,3.9,1.3,0.4,Iris-setosa,1.7,
18,5.1,3.5,1.4,0.3,Iris-setosa,1.7,Wilting
19,5.7,3.8,1.7,0.3,Iris-setosa,2.0,Healthy
20,5.1,3.8,1.5,0.3,Iris-setosa,1.8,
21,5.4,3.4,1.7,0.2,Iris-setosa,1.9,Healthy
22,5.1,3.7,1.5,0.4,Iris-setosa,1.9,
23,4.6,3.6,1.0,0.2,Iris-setosa,1.2,Wilting
24,5.1,3.3,1.7,0.5,Iris-setosa,2.2,Healthy
25,4.8,3.4,1.9,0.2,Iris-setosa,2.1,
26,5.0,3.0,1.6,0.2,Iris-setosa,1.8,Healthy
27,5.0,3.4,1.6,0.4,Iris-setosa,2.0,
28,5.2,3.5,1.5,0.2,Iris-setosa,1.7,Wilting
29,5.2,3.4,1.4,0.2,Iris-setosa,1.6,Healthy
30,4.7,3.2,1.6,0.2,Iris-setosa,1.8,
31,4.8,3.1,1.6,0.2,Iris-setosa,1.8,Healthy
32,5.4,3.4,1.5,0.4,Iris-setosa,1.9,
33,5.2,4.1,1.5,0.1,Iris-setosa,1.6,Wilting
34,5.5,4.2,1.4,0.2,Iris-setosa,1.6,Healthy
35,4.9,3.1,1.5,0.1,Iris-setosa,1.6,
36,5.0,3.2,1.2,0.2,Iris-setosa,1.4,Healthy
37,5.5,3.5,1.3,0.2,Iris-setosa,1.5,
38,4.9,3.1,1.5,0.1,Iris-setosa,1.6,Wilting
39,4.4,3.0,1.3,0.2,Iris-setosa,1.5,Healthy
40,5.1,3.4,1.5,0.2,Iris-setosa,1.7,
41,5.0,3.5,1.3,0.3,Iris-setosa,1.6,Healthy
42,4.5,2.3,1.3,0.3,Iris-setosa,1.6,
43,4.4,3.2,1.3,0.2,Iris-setosa,1.5,Wilting
44,5.0,3.5,1.6,0.6,Iris-setosa,2.2,Healthy
45,5.1,3.8,1.9,0.4,Iris-setosa,2.3,
46,4.8,3.0,1.4,0.3,Iris-setosa,1.7,Healthy
47,5.1,3.8,1.6,0.2,Iris-setosa,1.8,
48,4.6,3.2,1.4,0.2,Iris-setosa,1.6,Wilting
49,5.3,3.7,1.5,0.2,Iris-setosa,1.7,Healthy
50,5.0,3.3,1.4,0.2,Iris-setosa,1.6,
51,7.0,3.2,4.7,1.4,Iris-versicolor,6.1,Healthy
52,6.4,3.2,4.5,1.5,Iris-versicolor,6.0,
53,6.9,3.1,4.9,1.5,Iris-versicolor,6.4,Wilting
54,5.5,2.3,4.0,1.3,Iris-versicolor,5.3,Healthy
55,6.5,2.8,4.6,1.5,Iris-versicolor,6.1,
56,5.7,2.8,4.5,1.3,Iris-versicolor,5.8,Healthy
57,6.3,3.3,4.7,1.6,Iris-versicolor,6.3,
58,4.9,2.4,3.3,1.0,Iris-versicolor,4.3,Wilting
59,6.6,2.9,4.6,1.3,Iris-versicolor,5.9,Healthy
60,5.2,2.7,3.9,1.4,Iris-versicolor,5.3,
61,5.0,2.0,3.5,1.0,Iris-versicolor,4.5,Healthy
62,5.9,3.0,4.2,1.5,Iris-versicolor,5.7,
63,6.0,2.2,4.0,1.0,Iris-versicolor,5.0,Wilting
64,6.1,2.9,4.7,1.4,Iris-versicolor,6.1,Healthy
65,5.6,2.9,3.6,1.3,Iris-versicolor,4.9,
66,6.7,3.1,4.4,1.4,Iris-versicolor,5.8,Healthy
67,5.6,3.0,4.5,1.5,Iris-versicolor,6.0,
68,5.8,2.7,4.1,1.0,Iris-versicolor,5.1,Wilting
69,6.2,2.2,4.5,1.5,Iris-versicolor,6.0,Healthy
70,5.6,2.5,3.9,1.1,Iris-versicolor,5.0,
71,5.9,3.2,4.8,1.8,Iris-versicolor,6.6,Healthy
72,6.1,2.8,4.0,1.3,Iris-versicolor,5.3,
73,6.3,2.5,4.9,1.5,Iris-versicolor,6.4,Wilting
74,6.1,2.8,4.7,1.2,Iris-versicolor,5.9,Healthy
75,6.4,2.9,4.3,1.3,Iris-versicolor,5.6,
76,6.6,3.0,4.4,1.4,Iris-versicolor,5.8,Healthy
77,6.8,2.8,4.8,1.4,Iris-versicolor,6.2,
78,6.7,3.0,5.0,1.7,Iris-versicolor,6.7,Wilting
79,6.0,2.9,4.5,1.5,Iris-versicolor,6.0,Healthy
80,5.7,2.6,3.5,1.0,Iris-versicolor,4.5,
81,5.5,2.4,3.8,1.1,Iris-versicolor,4.9,Healthy
82,5.5,2.4,3.7,1.0,Iris-versicolor,4.7,
83,5.8,2.7,3.9,1.2,Iris-versicolor,5.1,Wilting
84,6.0,2.7,5.1,1.6,Iris-versicolor,6.7,Healthy
85,5.4,3.0,4.5,1.5,Iris-versicolor,6.0,
86,6.0,3.4,4.5,1.6,Iris-versicolor,6.1,Healthy
87,6.7,3.1,4.7,1.5,Iris-versicolor,6.2,
88,6.3,2.3,4.4,1.3,Iris-versicolor,5.7,Wilting
89,5.6,3.0,4.1,1.3,Iris-versicolor,5.4,Healthy
90,5.5,2.5,4.0,1.3,Iris-versicolor,5.3,
91,5.5,2.6,4.4,1.2,Iris-versicolor,5.6,Healthy
92,6.1,3.0,4.6,1.4,Iris-versicolor,6.0,
93,5.8,2.6,4.0,1.2,Iris-versicolor,5.2,Wilting
94,5.0,2.3,3.3,1.0,Iris-versicolor,4.3,Healthy
95,5.6,2.7,4.2,1.3,Iris-versicolor,5.5,
96,5.7,3.0,4.2,1.2,Iris-versicolor,5.4,Healthy
97,5.7,2.9,4.2,1.3,Iris-versicolor,5.5,
98,6.2,2.9,4.3,1.3,Iris-versicolor,5.6,Wilting
99,5.1,2.5,3.0,1.1,Iris-versicolor,4.1,Healthy
100,5.7,2.8,4.1,1.3,Iris-versicolor,5.4,
101,6.3,3.3,6.0,2.5,Iris-virginica,8.5,Healthy
102,5.8,2.7,5.1,1.9,Iris-virginica,7.0,
103,7.1,3.0,5.9,2.1,Iris-virginica,8.0,Wilting
104,6.3,2.9,5.6,1.8,Iris-virginica,7.4,Healthy
105,6.5,3.0,5.8,2.2,Iris-virginica,8.0,
106,7.6,3.0,6.6,2.1,Iris-virginica,8.7,Healthy
107,4.9,2.5,4.5,1.7,Iris-virginica,6.2,
108,7.3,2.9,6.3,1.8,Iris-virginica,8.1,Wilting
109,6.7,2.5,5.8,1.8,Iris-virginica,7.6,Healthy
110,7.2,3.6,6.1,2.5,Iris-virginica,8.6,
111,6.5,3.2,5.1,2.0,Iris-virginica,7.1,Healthy
112,6.4,2.7,5.3,1.9,Iris-virginica,7.2,
113,6.8,3.0,5.5,2.1,Iris-virginica,7.6,Wilting
114,5.7,2.5,5.0,2.0,Iris-virginica,7.0,Healthy
115,5.8,2.8,5.1,2.4,Iris-virginica,7.5,
116,6.4,3.2,5.3,2.3,Iris-virginica,7.6,Healthy
117,6.5,3.0,5.5,1.8,Iris-virginica,7.3,
118,7.7,3.8,6.7,2.2,Iris-virginica,8.9,Wilting
119,7.7,2.6,6.9,2.3,Iris-virginica,9.2,Healthy
120,6.0,2.2,5.0,1.5,Iris-virginica,6.5,
121,6.9,3.2,5.7,2.3,Iris-virginica,8.0,Healthy
122,5.6,2.8,4.9,2.0,Iris-virginica,6.9,
123,7.7,2.8,6.7,2.0,Iris-virginica,8.7,Wilting
124,6.3,2.7,4.9,1.8,Iris-virginica,6.7,Healthy
125,6.7,3.3,5.7,2.1,Iris-virginica,7.8,
126,7.2,3.2,6.0,1.8,Iris-virginica,7.8,Healthy
127,6.2,2.8,4.8,1.8,Iris-virginica,6.6,
128,6.1,3.0,4.9,1.8,Iris-virginica,6.7,Wilting
129,6.4,2.8,5.6,2.1,Iris-virginica,7.7,Healthy
130,7.2,3.0,5.8,1.6,Iris-virginica,7.4,
131,7.4,2.8,6.1,1.9,Iris-virginica,8.0,Healthy
132,7.9,3.8,6.4,2.0,Iris-virginica,8.4,
133,6.4,2.8,5.6,2.2,Iris-virginica,7.8,Wilting
134,6.3,2.8,5.1,1.5,Iris-virginica,6.6,Healthy
135,6.1,2.6,5.6,1.4,Iris-virginica,7.0,
136,7.7,3.0,6.1,2.3,Iris-virginica,8.4,Healthy
137,6.3,3.4,5.6,2.4,Iris-virginica,8.0,
138,6.4,3.1,5.5,1.8,Iris-virginica,7.3,Wilting
139,6.0,3.0,4.8,1.8,Iris-virginica,6.6,Healthy
140,6.9,3.1,5.4,2.1,Iris-virginica,7.5,
141,6.7,3.1,5.6,2.4,Iris-virginica,8.0,Healthy
142,6.9,3.1,5.1,2.3,Iris-virginica,7.4,
143,5.8,2.7,5.1,1.9,Iris-virginica,7.0,Wilting
144,6.8,3.2,5.9,2.3,Iris-virginica,8.2,Healthy
145,6.7,3.3,5.7,2.5,Iris-virginica,8.2,
146,6.7,3.0,5.2,2.3,Iris-virginica,7.5,Healthy
147,6.3,2.5,5.0,1.9,Iris-virginica,6.9,
148,6.5,3.0,5.2,2.0,Iris-virginica,7.2,Wilting
149,6.2,3.4,5.4,2.3,Iris-virginica,7.7,Healthy
150,5.9,3.0,5.1,1.8,Iris-virginica,6.9,
